"api_number","reported_on","barrels_oil","mcf_gas","barrels_water","days_producing"
"4900550334","20070801","0","199.95","1213.03",""
"4900543315","20070801","0","0","846.92",""
"4900545310","20070801","0","3769.91","0",""
"4900545544","20070801","0","2241.92","0",""
"4900545545","20070801","0","2059.95","60.14",""
"4900545546","20070801","0","0","2532.08",""
"4900545547","20070801","0","2788.14","165.85",""
"4900545548","20070801","0","1816.91","176.08",""
"4900544973","20070901","0","57.9","0",""
"4900545549","20070801","0","1221.09","779.03",""
"4900554311","20070601","0","3794.1","0",""
"4900537235","20070801","0","7466.97","6014.93",""
"4900545550","20070301","0","44.95","0",""
"4900545551","20070801","0","2971.04","0",""
"4900546083","20070401","0","216","17.1",""
"4900546084","20070401","0","236.1","18.9",""
"4900546085","20070601","0","0","825.9",""
"4900552055","20060701","0",".93","0",""
"4900550335","20070801","0","517.08","1068.88",""
"4900550336","20070801","0","115.94","947.05",""
"4900549282","20070801","0","1329.9","0",""
"4900549283","20070801","0","1248.99","0",""
"4900537421","20070801","0","6871.15","1382.91",""
"4900550337","20070801","0","274.97","1272.86",""
"4900537423","20070801","0","115.94","3139.06",""
"4900550338","20070801","0","136.09","286.13",""
"4900540074","20070801","0","2564.94","3561.9",""
"4900535923","20070801","0","2196.97","1883.87",""
"4900541783","20070901","0","1085.1","0",""
"4900541784","20070901","0","9.9","0",""
"4900541785","20070901","0","24.9","1598.1",""
"4900541786","20070801","0","0","1240",""
"4900528075","20140901","0","23.1","231.9",""
"4900548333","20070901","0","2.1","1722.9",""
"4900541787","20070901","0","6","0",""
"4900541788","20060501","0","0","9.92",""
"4900543009","20070901","0","581.1","0",""
"4900548334","20070901","0","9","3161.1",""
"4900549284","20070801","0","969.06","0",""
"4900548335","20070901","0","1455.9","1572",""
"4900548336","20070901","0","954.9","0",""
"4900549582","20070801","0","79.98","0",""
"4900543316","20070801","0","407.03","0",""
"4900537427","20070801","0","3156.11","2618.88",""
"4900547510","20070101","0","0","13.95",""
"4900543317","20070801","0","66.03","833.9",""
"4900545311","20070801","0","1451.11","2226.11",""
"4900537068","20070801","0","85.87","172.05",""
"4900537429","20070801","0","4205.15","7908.1",""
"4900542056","20060501","0","186.93","0",""
"4900537071","20070801","0","442.99","376.03",""
"4900537074","20070801","0","335.11","823.98",""
"4900537080","20050901","0","96.9","0",""
"4900537083","20070801","0","168.02","3103.1",""
"4900537042","20070801","0","10739.02","2968.87",""
"4900537043","20070801","0","8975.12","584.04",""
"4900537160","20070801","0","6055.85","21231.9",""
"4900537180","20070801","0","0","12249.03",""
"4900537184","20070801","0","3.1","8777.03",""
"4900537189","20070801","0","3.1","2387.93",""
"4900537232","20070801","0","3623.9","863.97",""
"4900537191","20070801","0","243.04","0",""
"4900537192","20070801","0","720.13","0",""
"4900537193","20070801","0","775.93","0",""
"4900537194","20070801","0","4038.06","0",""
"4900537195","20070801","0","167.09","0",""
"4900537198","20070801","0","41.85","1343.85",""
"4900537197","20011101","0","12.9","0",""
"4900537200","20070801","0","0","305.97",""
"4900537201","20070801","0","373.86","0",""
"4900537204","20030201","0","890.12","409.08",""
"4900537202","20070701","0","79.05","206.15",""
"4900537206","20070801","0","0","3914.99",""
"4900537203","20070801","0","0","3959.94",""
"4900537213","20070201","0","579.88","0",""
"4900545007","20070801","0","944.88","97.03",""
"4900537217","20070801","0","105.09","3662.96",""
"4900537219","20070801","0","97.03","291.09",""
"4900545008","20070801","0","496","124",""
"4900537051","20070801","0","762.91","0",""
"4900537290","20140801","0","208.94","0",""
"4900537297","20060701","0","88.04","0",""
"4900537285","20011001","0","256.06","5992.92",""
"4900537291","20120401","0","39","0",""
"4900537292","20091101","0","14.1","0",""
"4900537297","20050301","0","249.86","2202.86",""
"4900537309","20070801","0","137.02","868",""
"4900537310","20070801","0","544.05","0",""
"4900537317","20070801","0","723.85","0",""
"4900537315","20070801","0","530.1","0",""
"4900537320","20040401","0","8.1","0",""
"4900537319","20070801","0","558","93",""
"4900537327","20070801","0","619.07","0",""
"4900537328","20070801","0","770.04","0",""
"4900537329","20070801","0","181.97","0",""
"4900537322","20070601","0","174.9","0",""
"4900537321","20070601","0","3","0",""
"4900537323","20070801","0","655.03","0",""
"4900537337","20070801","0","368.9","190.03",""
"4900537324","20070301","0","1.86","0",""
"4900537325","20070801","0","992","0",""
"4900537326","20040401","0","8.1","0",""
"4900537330","20070801","0","505.92","310",""
"4900537332","20070801","0","432.14","3100",""
"4900537347","20070801","0","150.97","0",""
"4900537349","20060701","0","0","75.02",""
"4900537350","20060601","0","143.1","0",""
"4900537351","20070601","0","41.1","0",""
"4900537356","20060301","0","7.13","0",""
"4900537359","20011001","0","539.09","0",""
"4900537361","20020101","0","39.99","11032.9",""
"4900537362","20020901","0","384.9","0",""
"4900537363","20021001","0","4239.87","13.02",""
"4900537364","20020901","0","95.1","0",""
"4900537365","20050801","0","40.92","0",""
"4900537366","20040201","0","2052.91","0",""
"4900537367","20050701","0","17.98","0",""
"4900537368","20050701","0","8.99","0",""
"4900537369","20040201","0","1804.96","0",""
"4900537352","20050601","0","609","0",""
"4900537353","20050401","0","87.9","0",""
"4900538892","20070801","0","633.95","0",""
"4900538898","20070801","0","940.85","0",""
"4900537388","20070901","0","24.9","351.9",""
"4900537389","20070901","0","1817.1","531.9",""
"4900538899","20070801","0","474.92","0",""
"4900538900","20070801","0","637.05","0",""
"4900537400","20070801","0","735.01","0",""
"4900538901","20070801","0","1071.05","0",""
"4900545961","20070801","0","849.09","0",""
"4900530786","20060601","0","80.1","0",""
"4900537403","20070801","0","0","240.87",""
"4900536562","20070801","0","535.99","6820",""
"4900537405","20060701","0","286.13","0",""
"4900537357","20020301","0","0","806.93",""
"4900537358","20020801","0","3.1","0",""
"4900537399","20070801","0","291.09","0",""
"4900537430","20070701","0","194.06","0",""
"4900537431","20070701","0","189.1","0",""
"4900537434","20070801","0","32.86","0",""
"4900537435","20070801","0","1354.08","0",""
"4900537459","20070801","0","814.99","297.91",""
"4900537460","20070801","0","1501.95","651.93",""
"4900537458","20070801","0","673.01","683.86",""
"4900537461","20070801","0","558.93","444.85",""
"4900534161","20070801","0","758.88","1240",""
"4900534162","20070401","0","0","540",""
"4900530400","20050301","0","615.04","0",""
"4900530401","20050701","0","455.08","0",""
"4900534187","20070801","0","412.92","0",""
"4900534163","20070801","0","153.14","0",""
"4900534164","20070801","0","969.99","0",""
"4900534190","20070801","0","447.02","0",""
"4900539855","20070801","0","496","1744.06",""
"4900530726","20070901","0","1365.9","5895",""
"4900531103","20070801","0","726.02","0",""
"4900537333","20070801","0","17.98","0",""
"4900529939","20070801","0","282.1","6568.9",""
"4900530359","20061001","0","477.09","0",""
